Date,Initialprice,Discount
2019-05-23,3.99,70
2019-07-08,3.99,70
2019-08-15,3.99,70
2019-10-10,3.99,70
2019-10-31,3.99,70
2019-11-11,3.99,70
2019-12-02,3.99,70
2020-01-01,3.99,70
2020-02-09,3.99,70
2020-03-05,3.99,70
2020-05-13,3.99,70
2020-07-08,3.99,70
2020-07-30,3.99,70
